CWE-ID,Name,Weakness Abstraction,Status,Description
605,Multiple Binds to the Same Port,Base,Draft,"When multiple sockets are allowed to bind to the same port, other services on that port may be stolen or spoofed."
606,Unchecked Input for Loop Condition,Base,Draft,"The product does not properly check inputs that are used for loop conditions, potentially leading to a denial of service or other consequences because of excessive looping."
609,Double-Checked Locking,Base,Draft,"The program uses double-checked locking to access a resource without the overhead of explicit synchronization, but the locking is insufficient."
611,Improper Restriction of XML External Entity Reference,Base,Draft,"The software processes an XML document that can contain XML entities with URIs that resolve to documents outside of the intended sphere of control, causing the product to embed incorrect documents into its output."
612,Improper Authorization of Index Containing Sensitive Information,Base,Draft,"The product creates a search index of private or sensitive documents, but it does not properly limit index access to actors who are authorized to see the original information."
613,Insufficient Session Expiration,Base,Incomplete,"According to WASC, Insufficient Session Expiration is when a web site permits an attacker to reuse old session credentials or session IDs for authorization."
617,Reachable Assertion,Base,Draft,"The product contains an assert() or similar statement that can be triggered by an attacker, which leads to an application exit or other behavior that is more severe than necessary."
618,Exposed Unsafe ActiveX Method,Base,Incomplete,"An ActiveX control is intended for use in a web browser, but it exposes dangerous methods that perform actions that are outside of the browser's security model (e.g. the zone or domain)."
619,Dangling Database Cursor ('Cursor Injection'),Base,Incomplete,"If a database cursor is not closed properly, then it could become accessible to other users while retaining the same privileges that were originally assigned, leaving the cursor dangling."
620,Unverified Password Change,Base,Draft,"When setting a new password for a user, the product does not require knowledge of the original password, or using another form of authentication."
621,Variable Extraction Error,Base,Incomplete,"The product uses external input to determine the names of variables into which information is extracted, without verifying that the names of the specified variables are valid. This could cause the program to overwrite unintended variables."
624,Executable Regular Expression Error,Base,Incomplete,"The product uses a regular expression that either (1) contains an executable component with user-controlled inputs, or (2) allows a user to enable execution by inserting pattern modifiers."
625,Permissive Regular Expression,Base,Draft,The product uses a regular expression that does not sufficiently restrict the set of allowed values.
627,Dynamic Variable Evaluation,Base,Incomplete,"In a language where the user can influence the name of a variable at runtime, if the variable names are not controlled, an attacker can read or write to arbitrary variables, or access arbitrary functions."
628,Function Call with Incorrectly Specified Arguments,Base,Draft,"The product calls a function, procedure, or routine with arguments that are not correctly specified, leading to always-incorrect behavior and resultant weaknesses."
639,Authorization Bypass Through User-Controlled Key,Base,Incomplete,The system's authorization functionality does not prevent one user from gaining access to another user's data or record by modifying the key value identifying the data.
640,Weak Password Recovery Mechanism for Forgotten Password,Base,Incomplete,"The software contains a mechanism for users to recover or change their passwords without knowing the original password, but the mechanism is weak."
641,Improper Restriction of Names for Files and Other Resources,Base,Incomplete,"The application constructs the name of a file or other resource using input from an upstream component, but it does not restrict or incorrectly restricts the resulting name."
643,Improper Neutralization of Data within XPath Expressions ('XPath Injection'),Base,Incomplete,"The software uses external input to dynamically construct an XPath expression used to retrieve data from an XML database, but it does not neutralize or incorrectly neutralizes that input. This allows an attacker to control the structure of the query."
645,Overly Restrictive Account Lockout Mechanism,Base,Incomplete,"The software contains an account lockout protection mechanism, but the mechanism is too restrictive and can be triggered too easily, which allows attackers to deny service to legitimate users by causing their accounts to be locked out."
648,Incorrect Use of Privileged APIs,Base,Incomplete,The application does not conform to the API requirements for a function call that requires extra privileges. This could allow attackers to gain privileges by causing the function to be called incorrectly.
649,Reliance on Obfuscation or Encryption of Security-Relevant Inputs without Integrity Checking,Base,Incomplete,"The software uses obfuscation or encryption of inputs that should not be mutable by an external actor, but the software does not use integrity checks to detect if those inputs have been modified."
652,Improper Neutralization of Data within XQuery Expressions ('XQuery Injection'),Base,Incomplete,"The software uses external input to dynamically construct an XQuery expression used to retrieve data from an XML database, but it does not neutralize or incorrectly neutralizes that input. This allows an attacker to control the structure of the query."
663,Use of a Non-reentrant Function in a Concurrent Context,Base,Draft,The software calls a non-reentrant function in a concurrent context in which a competing code sequence (e.g. thread or signal handler) may have an opportunity to call the same function or otherwise influence its state.
676,Use of Potentially Dangerous Function,Base,Draft,"The program invokes a potentially dangerous function that could introduce a vulnerability if it is used incorrectly, but the function can also be used safely."
681,Incorrect Conversion between Numeric Types,Base,Draft,"When converting from one data type to another, such as long to integer, data can be omitted or translated in a way that produces unexpected values. If the resulting values are used in a sensitive context, then dangerous behaviors may occur."
694,Use of Multiple Resources with Duplicate Identifier,Base,Incomplete,"The software uses multiple resources that can have the same identifier, in a context in which unique identifiers are required."
695,Use of Low-Level Functionality,Base,Incomplete,The software uses low-level functionality that is explicitly prohibited by the framework or specification under which the software is supposed to operate.
698,Execution After Redirect (EAR),Base,Incomplete,"The web application sends a redirect to another location, but instead of exiting, it executes additional code."
708,Incorrect Ownership Assignment,Base,Incomplete,"The software assigns an owner to a resource, but the owner is outside of the intended control sphere."
733,Compiler Optimization Removal or Modification of Security-critical Code,Base,Incomplete,"The developer builds a security-critical protection mechanism into the software, but the compiler optimizes the program such that the mechanism is removed or modified."
749,Exposed Dangerous Method or Function,Base,Incomplete,"The software provides an Applications Programming Interface (API) or similar interface for interaction with external actors, but the interface includes a dangerous method or function that is not properly restricted."
756,Missing Custom Error Page,Base,Incomplete,"The software does not return custom error pages to the user, possibly exposing sensitive information."
763,Release of Invalid Pointer or Reference,Base,Incomplete,"The application attempts to return a memory resource to the system, but calls the wrong release function or calls the appropriate release function incorrectly."
764,Multiple Locks of a Critical Resource,Base,Incomplete,"The software locks a critical resource more times than intended, leading to an unexpected state in the system."
765,Multiple Unlocks of a Critical Resource,Base,Incomplete,"The software unlocks a critical resource more times than intended, leading to an unexpected state in the system."
766,Critical Data Element Declared Public,Variant,Incomplete,"The software declares a critical variable, field, or member to be public when intended security policy requires it to be private."
767,Access to Critical Private Variable via Public Method,Variant,Incomplete,The software defines a public method that reads or modifies a private variable.
770,Allocation of Resources Without Limits or Throttling,Base,Incomplete,"The software allocates a reusable resource or group of resources on behalf of an actor without imposing any restrictions on the size or number of resources that can be allocated, in violation of the intended security policy for that actor."
771,Missing Reference to Active Allocated Resource,Base,Incomplete,"The software does not properly maintain a reference to a resource that has been allocated, which prevents the resource from being reclaimed."
772,Missing Release of Resource after Effective Lifetime,Base,Draft,"The software does not release a resource after its effective lifetime has ended, i.e., after the resource is no longer needed."
776,Improper Restriction of Recursive Entity References in DTDs ('XML Entity Expansion'),Base,Draft,"The software uses XML documents and allows their structure to be defined with a Document Type Definition (DTD), but it does not properly control the number of recursive definitions of entities."
778,Insufficient Logging,Base,Draft,"When a security-critical event occurs, the software either does not record the event or omits important details about the event when logging it."
779,Logging of Excessive Data,Base,Draft,"The software logs too much information, making log files hard to process and possibly hindering recovery efforts or forensic analysis after an attack."
783,Operator Precedence Logic Error,Base,Draft,The program uses an expression in which operator precedence causes incorrect logic to be used.
786,Access of Memory Location Before Start of Buffer,Base,Incomplete,The software reads or writes to a buffer using an index or pointer that references a memory location prior to the beginning of the buffer.
787,Out-of-bounds Write,Base,Draft,"The software writes data past the end, or before the beginning, of the intended buffer."
788,Access of Memory Location After End of Buffer,Base,Incomplete,The software reads or writes to a buffer using an index or pointer that references a memory location after the end of the buffer.
791,Incomplete Filtering of Special Elements,Base,Incomplete,"The software receives data from an upstream component, but does not completely filter special elements before sending it to a downstream component."
795,Only Filtering Special Elements at a Specified Location,Base,Incomplete,"The software receives data from an upstream component, but only accounts for special elements at a specified location, thereby missing remaining special elements that may exist before sending it to a downstream component."
798,Use of Hard-coded Credentials,Base,Draft,"The software contains hard-coded credentials, such as a password or cryptographic key, which it uses for its own inbound authentication, outbound communication to external components, or encryption of internal data."
804,Guessable CAPTCHA,Base,Incomplete,"The software uses a CAPTCHA challenge, but the challenge can be guessed or automatically recognized by a non-human actor."
805,Buffer Access with Incorrect Length Value,Base,Incomplete,"The software uses a sequential operation to read or write a buffer, but it uses an incorrect length value that causes it to access memory that is outside of the bounds of the buffer."
820,Missing Synchronization,Base,Incomplete,The software utilizes a shared resource in a concurrent manner but does not attempt to synchronize access to the resource.
821,Incorrect Synchronization,Base,Incomplete,"The software utilizes a shared resource in a concurrent manner, but it does not correctly synchronize access to the resource."
822,Untrusted Pointer Dereference,Base,Incomplete,"The program obtains a value from an untrusted source, converts this value to a pointer, and dereferences the resulting pointer."
823,Use of Out-of-range Pointer Offset,Base,Incomplete,"The program performs pointer arithmetic on a valid pointer, but it uses an offset that can point outside of the intended range of valid memory locations for the resulting pointer."
824,Access of Uninitialized Pointer,Base,Incomplete,The program accesses or uses a pointer that has not been initialized.
825,Expired Pointer Dereference,Base,Incomplete,"The program dereferences a pointer that contains a location for memory that was previously valid, but is no longer valid."
826,Premature Release of Resource During Expected Lifetime,Base,Incomplete,The program releases a resource that is still intended to be used by the program itself or another actor.
828,Signal Handler with Functionality that is not Asynchronous-Safe,Base,Incomplete,"The software defines a signal handler that contains code sequences that are not asynchronous-safe, i.e., the functionality is not reentrant, or it can be interrupted."
829,Inclusion of Functionality from Untrusted Control Sphere,Base,Incomplete,"The software imports, requires, or includes executable functionality (such as a library) from a source that is outside of the intended control sphere."
831,Signal Handler Function Associated with Multiple Signals,Base,Incomplete,The software defines a function that is used as a handler for more than one signal.
832,Unlock of a Resource that is not Locked,Base,Incomplete,The software attempts to unlock a resource that is not locked.
833,Deadlock,Base,Incomplete,"The software contains multiple threads or executable segments that are waiting for each other to release a necessary lock, resulting in deadlock."
835,Loop with Unreachable Exit Condition ('Infinite Loop'),Base,Incomplete,"The program contains an iteration or loop with an exit condition that cannot be reached, i.e., an infinite loop."
836,Use of Password Hash Instead of Password for Authentication,Base,Incomplete,"The software records password hashes in a data store, receives a hash of a password from a client, and compares the supplied hash to the hash obtained from the data store."
837,"Improper Enforcement of a Single, Unique Action",Base,Incomplete,"The software requires that an actor should only be able to perform an action once, or to have only one unique action, but the software does not enforce or improperly enforces this restriction."
838,Inappropriate Encoding for Output Context,Base,Incomplete,"The software uses or specifies an encoding when generating output to a downstream component, but the specified encoding is not the same as the encoding that is expected by the downstream component."
839,Numeric Range Comparison Without Minimum Check,Base,Incomplete,"The program checks a value to ensure that it is less than or equal to a maximum, but it does not also verify that the value is greater than or equal to the minimum."
841,Improper Enforcement of Behavioral Workflow,Base,Incomplete,"The software supports a session in which more than one behavior must be performed by an actor, but it does not properly ensure that the actor performs the behaviors in the required sequence."
842,Placement of User into Incorrect Group,Base,Incomplete,The software or the administrator places a user into an incorrect group.
843,Access of Resource Using Incompatible Type ('Type Confusion'),Base,Incomplete,"The program allocates or initializes a resource such as a pointer, object, or variable using one type, but it later accesses that resource using a type that is incompatible with the original type."
908,Use of Uninitialized Resource,Base,Incomplete,The software uses or accesses a resource that has not been initialized.
909,Missing Initialization of Resource,Base,Incomplete,The software does not initialize a critical resource.
910,Use of Expired File Descriptor,Base,Incomplete,The software uses or accesses a file descriptor after it has been closed.
911,Improper Update of Reference Count,Base,Incomplete,"The software uses a reference count to manage a resource, but it does not update or incorrectly updates the reference count."
914,Improper Control of Dynamically-Identified Variables,Base,Incomplete,The software does not properly restrict reading from or writing to dynamically-identified variables.
915,Improperly Controlled Modification of Dynamically-Determined Object Attributes,Base,Incomplete,"The software receives input from an upstream component that specifies multiple attributes, properties, or fields that are to be initialized or updated in an object, but it does not properly control which attributes can be modified."
916,Use of Password Hash With Insufficient Computational Effort,Base,Incomplete,"The software generates a hash for a password, but it uses a scheme that does not provide a sufficient level of computational effort that would make password cracking attacks infeasible or expensive."
917,Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection'),Base,Incomplete,"The software constructs all or part of an expression language (EL) statement in a Java Server Page (JSP) using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended EL statement before it is executed."
920,Improper Restriction of Power Consumption,Base,Incomplete,"The software operates in an environment in which power is a limited resource that cannot be automatically replenished, but the software does not properly restrict the amount of power that its operation consumes."
921,Storage of Sensitive Data in a Mechanism without Access Control,Base,Incomplete,The software stores sensitive information in a file system or device that does not have built-in access control.
924,Improper Enforcement of Message Integrity During Transmission in a Communication Channel,Base,Incomplete,"The software establishes a communication channel with an endpoint and receives a message from that endpoint, but it does not sufficiently ensure that the message was not modified during transmission."
939,Improper Authorization in Handler for Custom URL Scheme,Base,Incomplete,"The software uses a handler for a custom URL scheme, but it does not properly restrict which actors can invoke the handler using the scheme."
940,Improper Verification of Source of a Communication Channel,Base,Incomplete,"The software establishes a communication channel to handle an incoming request that has been initiated by an actor, but it does not properly verify that the request is coming from the expected origin."
941,Incorrectly Specified Destination in a Communication Channel,Base,Incomplete,"The software creates a communication channel to initiate an outgoing request to an actor, but it does not correctly specify the intended destination for that actor."
1007,Insufficient Visual Distinction of Homoglyphs Presented to User,Base,Incomplete,"The software displays information or identifiers to a user, but the display mechanism does not make it easy for the user to distinguish between visually similar or identical glyphs (homoglyphs), which may cause the user to misinterpret a glyph and perform an unintended, insecure action."
1021,Improper Restriction of Rendered UI Layers or Frames,Base,Incomplete,"The web application does not restrict or incorrectly restricts frame objects or UI layers that belong to another application or domain, which can lead to user confusion about which interface the user is interacting with."
1024,Comparison of Incompatible Types,Base,Incomplete,"The software performs a comparison between two entities, but the entities are of different, incompatible types that cannot be guaranteed to provide correct results when they are directly compared."
1025,Comparison Using Wrong Factors,Base,Incomplete,"The code performs a comparison between two entities, but the comparison examines the wrong factors or characteristics of the entities, which can lead to incorrect results and resultant weaknesses."
1037,Processor Optimization Removal or Modification of Security-critical Code,Base,Incomplete,"The developer builds a security-critical protection mechanism into the software, but the processor optimizes the execution of the program such that the mechanism is removed or modified."
1041,Use of Redundant Code,Base,Incomplete,"The software has multiple functions, methods, procedures, macros, etc. that contain the same code."
1043,Data Element Aggregating an Excessively Large Number of Non-Primitive Elements,Base,Incomplete,The software uses a data element that has an excessively large number of sub-elements with non-primitive data types such as structures or aggregated objects.
1044,Architecture with Number of Horizontal Layers Outside of Expected Range,Base,Incomplete,The software's architecture contains too many - or too few - horizontal layers.
1045,Parent Class with a Virtual Destructor and a Child Class without a Virtual Destructor,Variant,Incomplete,"A parent class has a virtual destructor method, but the parent has a child class that does not have a virtual destructor."
1046,Creation of Immutable Text Using String Concatenation,Base,Incomplete,The software creates an immutable text string using string concatenation operations.
1047,Modules with Circular Dependencies,Base,Incomplete,"The software contains modules in which one module has references that cycle back to itself, i.e., there are circular dependencies."
1048,Invokable Control Element with Large Number of Outward Calls,Base,Incomplete,"The code contains callable control elements that contain an excessively large number of references to other application objects external to the context of the callable, i.e. a Fan-Out value that is excessively large."
1049,Excessive Data Query Operations in a Large Data Table,Base,Incomplete,The software performs a data query with a large number of joins and sub-queries on a large data table.
1050,Excessive Platform Resource Consumption within a Loop,Base,Incomplete,"The software has a loop body or loop condition that contains a control element that directly or indirectly consumes platform resources, e.g. messaging, sessions, locks, or file descriptors."
1051,Initialization with Hard-Coded Network Resource Configuration Data,Base,Incomplete,The software initializes data using hard-coded values that act as network resource identifiers.
1052,Excessive Use of Hard-Coded Literals in Initialization,Base,Incomplete,The software initializes a data element using a hard-coded literal that is not a simple integer or static constant element.
1053,Missing Documentation for Design,Base,Incomplete,The product does not have documentation that represents how it is designed.
1054,Invocation of a Control Element at an Unnecessarily Deep Horizontal Layer,Base,Incomplete,"The code at one architectural layer invokes code that resides at a deeper layer than the adjacent layer, i.e., the invocation skips at least one layer, and the invoked code is not part of a vertical utility layer that can be referenced from any horizontal layer."
1055,Multiple Inheritance from Concrete Classes,Base,Incomplete,The software contains a class with inheritance from more than one concrete class.
1056,Invokable Control Element with Variadic Parameters,Base,Incomplete,A named-callable or method control element has a signature that supports a variable (variadic) number of parameters or arguments.
1057,Data Access Operations Outside of Expected Data Manager Component,Base,Incomplete,"The software uses a dedicated, central data manager component as required by design, but it contains code that performs data-access operations that do not use this data manager."
1058,Invokable Control Element in Multi-Thread Context with non-Final Static Storable or Member Element,Base,Incomplete,The code contains a function or method that operates in a multi-threaded environment but owns an unsafe non-final static storable or member data element.
1060,Excessive Number of Inefficient Server-Side Data Accesses,Base,Incomplete,The software performs too many data queries without using efficient data processing functionality such as stored procedures.
1062,Parent Class with References to Child Class,Base,Incomplete,"The code has a parent class that contains references to a child class, its methods, or its members."
1063,Creation of Class Instance within a Static Code Block,Base,Incomplete,A static code block creates an instance of a class.
1064,Invokable Control Element with Signature Containing an Excessive Number of Parameters,Base,Incomplete,"The software contains a function, subroutine, or method whose signature has an unnecessarily large number of parameters/arguments."
1065,Runtime Resource Management Control Element in a Component Built to Run on Application Servers,Base,Incomplete,"The application uses deployed components from application servers, but it also uses low-level functions/methods for management of resources, instead of the API provided by the application server."
1066,Missing Serialization Control Element,Base,Incomplete,The software contains a serializable data element that does not have an associated serialization method.
1067,Excessive Execution of Sequential Searches of Data Resource,Base,Incomplete,The software contains a data query against an SQL table or view that is configured in a way that does not utilize an index and may cause sequential searches to be performed.
1068,Inconsistency Between Implementation and Documented Design,Base,Incomplete,The implementation of the product is not consistent with the design as described within the relevant documentation.
1069,Empty Exception Block,Base,Incomplete,"An invokable code block contains an exception handling block that does not contain any code, i.e. is empty."
1070,Serializable Data Element Containing non-Serializable Item Elements,Base,Incomplete,"The software contains a serializable, storable data element such as a field or member, but the data element contains member elements that are not serializable."
1071,Empty Code Block,Base,Incomplete,"The source code contains a block that does not contain any code, i.e., the block is empty."
1072,Data Resource Access without Use of Connection Pooling,Base,Incomplete,The software accesses a data resource through a database without using a connection pooling capability.
1073,Non-SQL Invokable Control Element with Excessive Number of Data Resource Accesses,Base,Incomplete,"The software contains a client with a function or method that contains a large number of data accesses/queries that are sent through a data manager, i.e., does not use efficient database capabilities."
1074,Class with Excessively Deep Inheritance,Base,Incomplete,"A class has an inheritance level that is too high, i.e., it has a large number of parent classes."
1075,Unconditional Control Flow Transfer outside of Switch Block,Base,Incomplete,The software performs unconditional control transfer (such as a goto) in code outside of a branching structure such as a switch block.
1077,Floating Point Comparison with Incorrect Operator,Variant,Incomplete,"The code performs a comparison such as an equality test between two float (floating point) values, but it uses comparison operators that do not account for the possibility of loss of precision."
1079,Parent Class without Virtual Destructor Method,Base,Incomplete,"A parent class contains one or more child classes, but the parent class does not have a virtual destructor method."
1080,Source Code File with Excessive Number of Lines of Code,Base,Incomplete,A source code file has too many lines of code.
1082,Class Instance Self Destruction Control Element,Base,Incomplete,The code contains a class instance that calls the method or function to delete or destroy itself.
1083,Data Access from Outside Expected Data Manager Component,Base,Incomplete,"The software is intended to manage data access through a particular data manager component such as a relational or non-SQL database, but it contains code that performs data access operations without using that component."
1084,Invokable Control Element with Excessive File or Data Access Operations,Base,Incomplete,A function or method contains too many operations that utilize a data manager or file resource.
1085,Invokable Control Element with Excessive Volume of Commented-out Code,Base,Incomplete,"A function, method, procedure, etc. contains an excessive amount of code that has been commented out within its body."
1086,Class with Excessive Number of Child Classes,Base,Incomplete,A class contains an unnecessarily large number of children.
1087,Class with Virtual Method without a Virtual Destructor,Base,Incomplete,"A class contains a virtual method, but the method does not have an associated virtual destructor."
1088,Synchronous Access of Remote Resource without Timeout,Base,Incomplete,"The code has a synchronous call to a remote resource, but there is no timeout for the call, or the timeout is set to infinite."
1089,Large Data Table with Excessive Number of Indices,Base,Incomplete,The software uses a large data table that contains an excessively large number of indices.
1090,Method Containing Access of a Member Element from Another Class,Base,Incomplete,A method for a class performs an operation that directly accesses a member element from another class.
1091,Use of Object without Invoking Destructor Method,Base,Incomplete,The software contains a method that accesses an object but does not later invoke the element's associated finalize/destructor method.
1092,Use of Same Invokable Control Element in Multiple Architectural Layers,Base,Incomplete,The software uses the same control element across multiple architectural layers.
1094,Excessive Index Range Scan for a Data Resource,Base,Incomplete,"The software contains an index range scan for a large data table, but the scan can cover a large number of rows."
1095,Loop Condition Value Update within the Loop,Base,Incomplete,The software uses a loop with a control flow condition based on a value that is updated within the body of the loop.
1097,Persistent Storable Data Element without Associated Comparison Control Element,Base,Incomplete,The software uses a storable data element that does not have all of the associated functions or methods that are necessary to support comparison.
1098,Data Element containing Pointer Item without Proper Copy Control Element,Variant,Incomplete,The code contains a data element with a pointer that does not have an associated copy or constructor method.
1099,Inconsistent Naming Conventions for Identifiers,Base,Incomplete,"The product's code, documentation, or other artifacts do not consistently use the same naming conventions for variables, callables, groups of related callables, I/O capabilities, data types, file names, or similar types of elements."
1100,Insufficient Isolation of System-Dependent Functions,Base,Incomplete,The product or code does not isolate system-dependent functionality into separate standalone modules.
1101,Reliance on Runtime Component in Generated Code,Base,Incomplete,The product uses automatically-generated code that cannot be executed without a specific runtime support component.
1102,Reliance on Machine-Dependent Data Representation,Base,Incomplete,"The code uses a data representation that relies on low-level data representation or constructs that may vary across different processors, physical machines, OSes, or other physical components."
1103,Use of Platform-Dependent Third Party Components,Base,Incomplete,The product relies on third-party software components that do not provide equivalent functionality across all desirable platforms.
1104,Use of Unmaintained Third Party Components,Base,Incomplete,The product relies on third-party components that are not actively supported or maintained by the original developer or a trusted proxy for the original developer.
1105,Insufficient Encapsulation of Machine-Dependent Functionality,Base,Incomplete,"The product or code uses machine-dependent functionality, but it does not sufficiently encapsulate or isolate this functionality from the rest of the code."
1106,Insufficient Use of Symbolic Constants,Base,Incomplete,"The source code uses literal constants that may need to change or evolve over time, instead of using symbolic constants."
1107,Insufficient Isolation of Symbolic Constant Definitions,Base,Incomplete,"The source code uses symbolic constants, but it does not sufficiently place the definitions of these constants into a more centralized or isolated location."
1108,Excessive Reliance on Global Variables,Base,Incomplete,"The code is structured in a way that relies too much on using or setting global variables throughout various points in the code, instead of preserving the associated information in a narrower, more local context."
1109,Use of Same Variable for Multiple Purposes,Base,Incomplete,"The code contains a callable, block, or other code element in which the same variable is used to control more than one unique task or store more than one instance of data."
1110,Incomplete Design Documentation,Base,Incomplete,"The product's design documentation does not adequately describe control flow, data flow, system initialization, relationships between tasks, components, rationales, or other important aspects of the design."
1111,Incomplete I/O Documentation,Base,Incomplete,"The product's documentation does not adequately define inputs, outputs, or system/software interfaces."
1112,Incomplete Documentation of Program Execution,Base,Incomplete,The document does not fully define all mechanisms that are used to control or influence how product-specific programs are executed.
1113,Inappropriate Comment Style,Base,Incomplete,The source code uses comment styles or formats that are inconsistent or do not follow expected standards for the product.
1114,Inappropriate Whitespace Style,Base,Incomplete,The source code contains whitespace that is inconsistent across the code or does not follow expected standards for the product.
1115,Source Code Element without Standard Prologue,Base,Incomplete,The source code contains elements such as source files that do not consistently provide a prologue or header that has been standardized for the project.
1116,Inaccurate Comments,Base,Incomplete,The source code contains comments that do not accurately describe or explain aspects of the portion of the code with which the comment is associated.
1117,Callable with Insufficient Behavioral Summary,Base,Incomplete,"The code contains a function or method whose signature and/or associated inline documentation does not sufficiently describe the callable's inputs, outputs, side effects, assumptions, or return codes."
1118,Insufficient Documentation of Error Handling Techniques,Base,Incomplete,"The documentation does not sufficiently describe the techniques that are used for error handling, exception processing, or similar mechanisms."
1119,Excessive Use of Unconditional Branching,Base,Incomplete,The code uses too many unconditional branches (such as goto).
1121,Excessive McCabe Cyclomatic Complexity,Base,Incomplete,The code contains McCabe cyclomatic complexity that exceeds a desirable maximum.
1122,Excessive Halstead Complexity,Base,Incomplete,The code is structured in a way that a Halstead complexity measure exceeds a desirable maximum.
1123,Excessive Use of Self-Modifying Code,Base,Incomplete,The product uses too much self-modifying code.
1124,Excessively Deep Nesting,Base,Incomplete,The code contains a callable or other code grouping in which the nesting / branching is too deep.
1125,Excessive Attack Surface,Base,Incomplete,The product has an attack surface whose quantitative measurement exceeds a desirable maximum.
1126,Declaration of Variable with Unnecessarily Wide Scope,Base,Incomplete,"The source code declares a variable in one scope, but the variable is only used within a narrower scope."
1127,Compilation with Insufficient Warnings or Errors,Base,Incomplete,"The code is compiled without sufficient warnings enabled, which may prevent the detection of subtle bugs or quality issues."
1173,Improper Use of Validation Framework,Base,Draft,"The application does not use, or incorrectly uses, an input validation framework that is provided by the source language or an independent library."
1188,Insecure Default Initialization of Resource,Base,Incomplete,"The software initializes or sets a resource with a default that is intended to be changed by the administrator, but the default is not secure."
1220,Insufficient Granularity of Access Control,Base,Incomplete,"The product implements access controls via a policy or other feature with the intention to disable or restrict accesses (reads and/or writes) to assets in a system from untrusted agents. However, implemented access controls lack required granularity, which renders the control policy too broad because it allows accesses from unauthorized agents to the security-sensitive assets."
1230,Exposure of Sensitive Information Through Metadata,Base,Incomplete,"The product prevents direct access to a resource containing sensitive information, but it does not sufficiently limit access to metadata that is derived from the original, sensitive information."
1235,Incorrect Use of Autoboxing and Unboxing for Performance Critical Operations,Base,Incomplete,"The code uses boxed primitives, which may introduce inefficiencies into performance-critical operations."
1236,Improper Neutralization of Formula Elements in a CSV File,Base,Incomplete,"The software saves user-provided information into a Comma-Separated Value (CSV) file, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as a command when the file is opened by spreadsheet software."
1240,Use of a Risky Cryptographic Primitive,Base,Draft,This device implements a cryptographic algorithm using a non-standard or unproven cryptographic primitive.
1241,Use of Predictable Algorithm in Random Number Generator,Base,Draft,The device uses an algorithm that is predictable and generates a pseudo-random number.
1265,Unintended Reentrant Invocation of Non-reentrant Code Via Nested Calls,Base,Draft,"During execution of non-reentrant code, the software performs a call that unintentionally produces a nested invocation of the non-reentrant code."
203,Observable Differences in Behavior to Error Inputs,Base,Incomplete,Differences in device behavior to an error input may be used by an attacker to gather security-relevant information about the device. The information may be as simple as whether a particular operation was successful.
441,Unintended Proxy or Intermediary ('Confused Deputy'),Class,Draft,"The product receives a request, message, or directive from an upstream component, but the product does not sufficiently preserve the original source of the request before forwarding the request to an external actor that is outside of the product's control sphere. This causes the product to appear to be the source of the request, leading it to act as a proxy or other intermediary between the upstream component and the external actor."
1189,Improper Isolation of Shared Resources on System-on-a-Chip (SoC),Base,Draft,The product does not properly isolate shared resources between trusted and untrusted agents.
1190,DMA Device Enabled Too Early in Boot Phase,Base,Draft,"The product enables a Direct Memory Access (DMA) capable device before the security configuration settings are established, which allows an attacker to extract data from or gain privileges on the product."
1191,Exposed Chip Debug and Test Interface With Insufficient or Missing Authorization,Base,Draft,The chip does not implement or does not correctly check whether users are authorized to access internal registers.
1192,"System-on-Chip (SoC) Using Components without Unique, Immutable Identifiers",Base,Draft,"The System-on-Chip (SoC) does not have unique, immutable identifiers for each of its components."
1193,Power-On of Untrusted Execution Core Before Enabling Fabric Access Control,Base,Draft,The product enables components that contain untrusted firmware before memory and fabric access controls have been enabled.
1209,Failure to Disable Reserved Bits,Base,Incomplete,"The reserved bits in a hardware design are not disabled prior to production. Typically, reserved bits are used for future capabilities and should not support any functional logic in the design. However, designers might covertly use these bits to debug or further develop new capabilities in production hardware. Adversaries with access to these bits will write to them in hopes of compromising hardware state."
1221,Incorrect Register Defaults or Module Parameters,Base,Incomplete,Hardware description language code incorrectly defines register defaults or hardware IP parameters to insecure values.
1223,Race Condition for Write-Once Attributes,Base,Incomplete,"A write-once register in hardware design is programmable by an untrusted software component earlier than the trusted software component, resulting in a race condition issue."
1224,Improper Restriction of Write-Once Bit Fields,Base,Incomplete,"The hardware design control register sticky bits or write-once bit fields are improperly implemented, such that they can be reprogrammed by software."
1231,Improper Implementation of Lock Protection Registers,Base,Incomplete,The product incorrectly implements register lock bit protection features such that protected controls can be programmed even after the lock has been set.
1232,Improper Lock Behavior After Power State Transition,Base,Incomplete,"Register lock bit protection disables changes to system configuration once the bit is set. Some of the protected registers or lock bits become programmable after power state transitions (e.g., Entry and wake from low power sleep modes) causing the system configuration to be changeable."
1233,Improper Hardware Lock Protection for Security Sensitive Controls,Base,Incomplete,The product implements a register lock bit protection feature that permits security sensitive controls to modify the protected configuration.
1234,Hardware Internal or Debug Modes Allow Override of Locks,Base,Incomplete,System configuration protection may be bypassed during debug mode.
1242,Inclusion of Undocumented Features or Chicken Bits,Base,Incomplete,The device includes chicken bits or undocumented features that can create entry points for unauthorized actors.
